,date_start,year,no_of_events
0,1996-01-02,1996,1
1,1996-01-03,1996,1
2,1996-01-07,1996,1
3,1996-01-08,1996,1
4,1996-01-11,1996,1
5,1996-01-14,1996,1
6,1996-01-18,1996,1
7,1996-01-21,1996,1
8,1996-01-25,1996,1
9,1996-01-26,1996,1
10,1996-01-30,1996,1
11,1996-01-31,1996,1
12,1996-02-02,1996,1
13,1996-02-06,1996,1
14,1996-02-07,1996,1
15,1996-02-12,1996,1
16,1996-02-14,1996,1
17,1996-02-22,1996,1
18,1996-02-27,1996,1
19,1996-02-28,1996,1
20,1996-03-02,1996,1
21,1996-03-04,1996,1
22,1996-03-05,1996,1
23,1996-03-09,1996,1
24,1996-03-12,1996,1
25,1996-03-19,1996,1
26,1996-03-27,1996,1
27,1996-03-29,1996,1
28,1996-03-30,1996,1
29,1996-04-01,1996,1
30,1996-04-03,1996,1
31,1996-04-06,1996,1
32,1996-04-07,1996,1
33,1996-04-08,1996,1
34,1996-04-09,1996,1
35,1996-04-10,1996,1
36,1996-04-14,1996,1
37,1996-04-16,1996,1
38,1996-04-19,1996,1
39,1996-04-20,1996,1
40,1996-04-30,1996,1
41,1996-05-01,1996,1
42,1996-05-02,1996,1
43,1996-05-04,1996,1
44,1996-05-06,1996,1
45,1996-05-10,1996,1
46,1996-05-12,1996,1
47,1996-05-17,1996,1
48,1996-05-21,1996,1
49,1996-05-24,1996,1
50,1996-05-25,1996,1
51,1996-05-27,1996,1
52,1996-06-01,1996,1
53,1996-06-05,1996,1
54,1996-06-07,1996,1
55,1996-06-12,1996,1
56,1996-06-16,1996,1
57,1996-06-19,1996,1
58,1996-06-22,1996,1
59,1996-06-23,1996,1
60,1996-06-30,1996,1
61,1996-07-01,1996,1
62,1996-07-02,1996,1
63,1996-07-06,1996,1
64,1996-07-09,1996,1
65,1996-07-11,1996,1
66,1996-07-14,1996,1
67,1996-07-15,1996,1
68,1996-07-16,1996,1
69,1996-07-18,1996,1
70,1996-07-19,1996,1
71,1996-07-21,1996,1
72,1996-07-24,1996,1
73,1996-07-30,1996,1
74,1996-08-02,1996,1
75,1996-08-03,1996,1
76,1996-08-09,1996,1
77,1996-08-15,1996,1
78,1996-08-16,1996,1
79,1996-08-19,1996,1
80,1996-08-21,1996,1
81,1996-08-23,1996,1
82,1996-08-25,1996,1
83,1996-08-29,1996,1
84,1996-09-01,1996,1
85,1996-09-07,1996,1
86,1996-09-08,1996,1
87,1996-09-11,1996,1
88,1996-09-18,1996,1
89,1996-09-20,1996,1
90,1996-09-21,1996,1
91,1996-09-23,1996,1
92,1996-09-25,1996,1
93,1996-09-26,1996,1
94,1996-09-27,1996,1
95,1996-09-28,1996,1
96,1996-09-29,1996,1
97,1996-10-01,1996,1
98,1996-10-08,1996,1
99,1996-10-10,1996,1
100,1996-10-11,1996,1
101,1996-10-12,1996,1
102,1996-10-16,1996,1
103,1996-10-17,1996,1
104,1996-10-19,1996,1
105,1996-10-20,1996,1
106,1996-10-22,1996,1
107,1996-10-23,1996,1
108,1996-10-28,1996,1
109,1996-11-03,1996,1
110,1996-11-04,1996,1
111,1996-11-09,1996,1
112,1996-11-10,1996,1
113,1996-11-12,1996,1
114,1996-11-14,1996,1
115,1996-11-15,1996,1
116,1996-11-17,1996,1
117,1996-11-30,1996,1
118,1996-12-03,1996,1
119,1996-12-18,1996,1
120,1996-12-20,1996,1
121,1996-12-28,1996,1
122,1996-12-29,1996,1
123,1997-01-03,1997,1
124,1997-01-10,1997,1
125,1997-01-16,1997,1
126,1997-01-17,1997,1
127,1997-01-26,1997,1
128,1997-01-31,1997,1
129,1997-02-04,1997,1
130,1997-02-10,1997,1
131,1997-02-23,1997,1
132,1997-03-04,1997,1
133,1997-03-05,1997,1
134,1997-03-06,1997,1
135,1997-03-15,1997,1
136,1997-03-18,1997,1
137,1997-03-19,1997,1
138,1997-03-22,1997,1
139,1997-03-26,1997,1
140,1997-03-27,1997,1
141,1997-04-08,1997,1
142,1997-04-10,1997,1
143,1997-04-19,1997,1
144,1997-05-01,1997,1
145,1997-05-03,1997,1
146,1997-05-05,1997,1
147,1997-05-07,1997,1
148,1997-05-10,1997,1
149,1997-05-14,1997,1
150,1997-05-16,1997,1
151,1997-05-18,1997,1
152,1997-05-21,1997,1
153,1997-05-24,1997,1
154,1997-05-26,1997,1
155,1997-05-28,1997,1
156,1997-06-04,1997,1
