,date_start,year,no_of_events
0,1991-12-22,7964,4
1,1991-12-30,3982,2
2,1992-01-04,1992,1
3,1992-01-05,1992,1
4,1992-01-21,1992,1
5,1992-01-23,1992,1
6,1992-01-27,3984,2
7,1992-03-16,3984,2
8,1992-03-26,1992,1
9,1992-04-01,1992,1
10,1992-05-12,3984,2
11,1992-05-13,1992,1
12,1992-06-05,1992,1
13,1992-06-08,1992,1
14,1992-06-09,1992,1
15,1992-06-13,1992,1
16,1992-06-16,1992,1
17,1992-06-19,1992,1
18,1992-06-22,1992,1
19,1992-06-23,1992,1
20,1992-06-24,5976,3
21,1992-06-25,1992,1
22,1992-06-28,1992,1
23,1992-07-01,1992,1
24,1992-07-03,1992,1
25,1992-07-06,1992,1
26,1992-07-07,1992,1
27,1992-07-09,1992,1
28,1992-07-10,1992,1
29,1992-07-13,3984,2
30,1992-07-14,3984,2
31,1992-07-21,1992,1
32,1992-08-14,5976,3
33,1992-08-15,1992,1
34,1992-08-16,1992,1
35,1992-08-17,1992,1
36,1992-08-18,3984,2
37,1992-08-23,1992,1
38,1992-08-24,1992,1
39,1992-08-25,5976,3
40,1992-08-26,3984,2
41,1992-08-27,1992,1
42,1992-08-28,3984,2
43,1992-08-30,1992,1
44,1992-09-01,3984,2
45,1992-09-10,1992,1
46,1992-09-12,1992,1
47,1992-09-14,1992,1
48,1992-09-15,1992,1
49,1992-09-17,1992,1
50,1992-09-19,5976,3
51,1992-09-22,1992,1
52,1992-09-26,3984,2
53,1992-09-30,9960,5
54,1992-10-01,1992,1
55,1992-10-02,1992,1
56,1992-10-05,1992,1
57,1992-10-11,1992,1
58,1992-10-13,3984,2
59,1992-10-14,1992,1
60,1992-11-04,1992,1
61,1992-11-06,1992,1
62,1992-11-18,1992,1
63,1992-11-19,1992,1
64,1992-11-21,1992,1
65,1992-12-02,1992,1
66,1992-12-04,1992,1
67,1992-12-07,1992,1
68,1992-12-14,1992,1
69,1992-12-21,1992,1
70,1992-12-27,1992,1
71,1992-12-29,1992,1
72,1992-12-30,1992,1
73,1992-12-31,3984,2
74,1993-01-03,9965,5
75,1993-01-04,3986,2
76,1993-01-05,1993,1
77,1993-01-06,1993,1
78,1993-02-14,1993,1
79,1993-03-04,3986,2
80,1993-03-14,3986,2
81,1993-03-15,1993,1
82,1993-03-16,5979,3
83,1993-03-18,1993,1
84,1993-04-03,1993,1
85,1993-04-05,1993,1
86,1993-04-06,1993,1
87,1993-04-08,5979,3
88,1993-04-16,1993,1
89,1993-04-17,1993,1
90,1993-04-26,3986,2
91,1993-05-03,1993,1
92,1993-05-05,1993,1
93,1993-05-08,1993,1
94,1993-05-09,1993,1
95,1993-05-12,1993,1
96,1993-05-14,1993,1
97,1993-05-16,3986,2
98,1993-05-19,1993,1
99,1993-05-31,1993,1
100,1993-06-01,5979,3
101,1993-06-04,1993,1
102,1993-06-05,1993,1
103,1993-06-06,1993,1
104,1993-06-15,1993,1
105,1993-06-20,1993,1
106,1993-06-22,1993,1
107,1993-06-24,1993,1
108,1993-06-27,1993,1
109,1993-07-02,11958,6
110,1993-07-03,1993,1
111,1993-07-05,3986,2
112,1993-07-06,1993,1
113,1993-07-07,1993,1
114,1993-07-10,1993,1
115,1993-07-11,1993,1
116,1993-07-12,1993,1
117,1993-07-13,1993,1
118,1993-07-14,3986,2
119,1993-07-21,1993,1
120,1993-07-25,1993,1
121,1993-07-26,3986,2
122,1993-07-30,1993,1
123,1993-08-11,1993,1
124,1993-08-16,1993,1
125,1993-08-28,1993,1
126,1993-09-15,5979,3
127,1993-09-16,9965,5
128,1993-09-17,1993,1
129,1993-09-19,1993,1
130,1993-09-21,1993,1
131,1993-09-22,1993,1
132,1993-09-29,1993,1
133,1993-10-02,1993,1
134,1993-10-05,5979,3
135,1993-10-06,1993,1
136,1993-10-09,1993,1
137,1993-10-11,1993,1
138,1993-10-16,1993,1
139,1993-10-17,1993,1
140,1993-10-20,7972,4
141,1993-10-22,1993,1
142,1993-10-24,1993,1
143,1993-10-28,3986,2
144,1993-10-29,1993,1
145,1993-11-05,1993,1
146,1993-11-09,1993,1
147,1993-11-11,1993,1
148,1993-11-16,1993,1
149,1993-11-25,1993,1
150,1993-11-28,3986,2
151,1995-03-11,1995,1
152,1995-05-08,1995,1
153,1995-06-01,1995,1
154,1997-07-08,1997,1
155,1997-11-06,1997,1
156,1997-12-02,1997,1
157,1997-12-22,1997,1
158,1997-12-24,1997,1
159,1998-05-20,1998,1
160,1998-05-23,3996,2
161,2002-08-02,2002,1
162,2002-08-23,2002,1
163,2004-07-31,2004,1
164,2004-08-11,6012,3
165,2004-08-14,2004,1
166,2004-08-16,4008,2
167,2004-08-17,2004,1
168,2004-08-18,2004,1
169,2004-08-19,4008,2
170,2004-08-31,2004,1
171,2004-10-12,2004,1
172,2008-02-28,2008,1
173,2008-03-27,2008,1
174,2008-07-03,2008,1
175,2008-07-04,2008,1
176,2008-08-01,2008,1
177,2008-08-08,8032,4
178,2008-09-10,2008,1
179,2008-10-03,2008,1
180,2008-11-09,2008,1
181,2010-01-30,2010,1
182,2010-06-01,2010,1
183,2010-06-08,4020,2
184,2011-04-08,2011,1
