,iyear,imonth,iday,country_txt,index,country,region,latitude,longitude,nperps,guncertain1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propvalue,ransompaidus,no_of_events,date
0,1996,1,2,Iraq,0,95,10,32.604393,44.007145,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1996-01-02
1,1996,1,10,Iraq,3,190,20,65.907959,88.378918,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1,0.0,0.0,2,1996-01-10
2,1996,4,5,Iraq,5,95,10,32.604393,44.007145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1996-04-05
3,1996,4,28,Iraq,7,95,10,33.303566000000004,44.371773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1996-04-28
4,1996,5,1,Iraq,8,95,10,31.848216999999998,47.145203,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1,0.0,0.0,1,1996-05-01
5,1996,5,4,Iraq,9,95,10,33.303566000000004,44.371773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1996-05-04
6,1996,6,5,Iraq,11,95,10,31.044371,46.261452,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,1,1996-06-05
7,1996,7,15,Iraq,14,95,10,33.420947999999996,43.295662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1996-07-15
8,1996,11,12,Iraq,19,95,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1996-11-12
9,1996,11,13,Iraq,20,95,10,33.848618,44.522125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,1,1996-11-13
10,1996,12,1,Iraq,22,95,10,36.083333,44.633333,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,1,0.0,0.0,1,1996-12-01
11,1997,1,7,Iraq,25,95,10,33.303566000000004,44.371773,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1,0.0,0.0,1,1997-01-07
12,1997,2,17,Iraq,26,95,10,33.303566000000004,44.371773,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0.0,0.0,1,1997-02-17
13,1997,3,16,Iraq,28,95,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1997-03-16
14,1997,4,9,Iraq,29,95,10,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1997-04-09
15,1997,4,24,Iraq,30,95,10,33.303566000000004,44.371773,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,1,1997-04-24
16,1997,5,7,Iraq,31,95,10,30.510053999999997,47.778095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1997-05-07
17,1997,5,12,Iraq,32,95,10,31.104228999999997,46.362469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1997-05-12
18,1997,6,4,Iraq,36,95,10,35.567009000000006,45.385494,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1997-06-04
19,1997,8,14,Iraq,40,95,10,35.567009000000006,45.385494,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0,0.0,0.0,1,1997-08-14
20,1997,8,19,Iraq,41,95,10,35.928637,44.964221,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,1,0.0,0.0,1,1997-08-19
21,1997,9,14,Iraq,87,190,20,74.185,86.97444399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2,1997-09-14
22,1997,9,15,Iraq,91,190,20,37.0925,43.487221999999996,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,2,1997-09-15
23,1997,10,5,Iraq,47,95,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1997-10-05
24,1997,10,18,Iraq,48,95,10,35.567009000000006,45.385494,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1997-10-18
25,1997,10,25,Iraq,49,95,10,33.74324,44.623825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1997-10-25
26,1997,11,7,Iraq,103,190,20,72.979354,89.049106,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,2,1997-11-07
27,1997,12,9,Iraq,107,190,20,71.857274,89.928442,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,1997-12-09
28,1998,1,2,Iraq,55,95,10,33.303566000000004,44.371773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1998-01-02
29,1998,8,1,Iraq,64,95,10,36.860813,42.976459999999996,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1998-08-01
30,1998,8,7,Iraq,65,95,10,33.303566000000004,44.371773,0.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,1,0.0,0.0,1,1998-08-07
31,1998,8,16,Iraq,67,95,10,35.567009000000006,45.385494,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1,0.0,0.0,1,1998-08-16
32,1998,10,5,Iraq,70,95,10,33.303566000000004,44.371773,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1998-10-05
33,1998,10,17,Iraq,73,95,10,33.848618,44.522125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1998-10-17
34,1998,11,22,Iraq,75,95,10,32.604393,44.007145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9,0.0,0.0,1,1998-11-22
35,1999,2,19,Iraq,76,95,10,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1999-02-19
36,1999,3,9,Iraq,77,95,10,36.192589,44.004622999999995,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0.0,0.0,1,1999-03-09
37,1999,3,10,Iraq,78,95,10,36.860813,42.976459999999996,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0,0.0,0.0,1,1999-03-10
38,1999,3,12,Iraq,79,95,10,36.860813,42.976459999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1999-03-12
39,1999,5,7,Iraq,82,95,10,32.533287,45.829453,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1,0.0,0.0,1,1999-05-07
40,1999,5,12,Iraq,83,95,10,34.92485,43.491413,0.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,0,0.0,0.0,1,1999-05-12
41,1999,6,2,Iraq,84,95,10,0.0,0.0,0.0,0.0,11.0,0.0,0.0,5.0,0.0,0.0,0,0.0,0.0,1,1999-06-02
42,1999,6,5,Iraq,85,95,10,33.303566000000004,44.371773,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,1,1999-06-05
43,1999,6,9,Iraq,86,95,10,33.303566000000004,44.371773,0.0,0.0,7.0,0.0,0.0,37.0,0.0,0.0,1,0.0,0.0,1,1999-06-09
44,1999,6,14,Iraq,87,95,10,33.303566000000004,44.371773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1999-06-14
45,1999,7,14,Iraq,93,95,10,0.0,0.0,0.0,1.0,5.0,0.0,0.0,29.0,0.0,0.0,-9,0.0,0.0,1,1999-07-14
46,1999,11,14,Iraq,105,95,10,32.533287,45.829453,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,1,0.0,0.0,1,1999-11-14
