,date_start,year,no_of_events
0,1989-01-01,3978,2
1,1990-01-01,3980,2
2,1990-01-19,3980,2
3,1990-06-23,1990,1
4,1990-08-02,1990,1
5,1991-01-01,1991,1
6,1991-01-13,1991,1
7,1991-01-16,15928,8
8,1991-01-17,13937,7
9,1991-01-18,1991,1
10,1991-01-19,1991,1
11,1991-01-20,1991,1
12,1991-01-21,7964,4
13,1991-01-22,3982,2
14,1991-01-23,1991,1
15,1991-01-25,1991,1
16,1991-01-28,3982,2
17,1991-01-29,3982,2
18,1991-01-31,1991,1
19,1991-02-02,1991,1
20,1991-02-05,1991,1
21,1991-02-07,3982,2
22,1991-02-11,1991,1
23,1991-02-13,3982,2
24,1991-02-14,1991,1
25,1991-02-16,1991,1
26,1991-02-17,1991,1
27,1991-02-19,1991,1
28,1991-02-21,1991,1
29,1991-02-22,1991,1
30,1991-02-24,1991,1
31,1991-02-26,3982,2
32,1991-02-28,1991,1
33,1991-03-01,5973,3
34,1991-03-07,1991,1
35,1991-03-15,3982,2
36,1991-03-16,1991,1
37,1991-03-17,1991,1
38,1991-03-18,3982,2
39,1991-03-21,1991,1
40,1991-03-27,1991,1
41,1991-03-28,1991,1
42,1991-03-29,3982,2
43,1991-04-11,5973,3
44,1991-04-19,1991,1
45,1991-04-24,3982,2
46,1991-04-29,7964,4
47,1991-05-02,5973,3
48,1991-05-30,1991,1
49,1991-06-02,1991,1
50,1991-07-17,1991,1
51,1991-07-18,1991,1
52,1991-09-09,1991,1
53,1991-10-01,3982,2
54,1991-10-07,1991,1
55,1991-11-05,1991,1
56,1992-02-28,1992,1
57,1992-03-06,1992,1
58,1992-03-13,3984,2
59,1992-04-04,1992,1
60,1992-04-21,5976,3
61,1992-05-27,1992,1
62,1992-05-28,1992,1
63,1992-06-01,1992,1
64,1992-06-02,1992,1
65,1992-07-22,3984,2
66,1992-07-23,1992,1
67,1992-07-27,1992,1
68,1992-07-28,1992,1
69,1992-08-05,1992,1
70,1992-08-08,1992,1
71,1992-08-10,1992,1
72,1992-09-02,7968,4
73,1992-09-15,1992,1
74,1992-09-23,1992,1
75,1992-10-01,3984,2
76,1992-10-04,5976,3
77,1992-10-05,1992,1
78,1992-10-07,1992,1
79,1992-10-09,1992,1
80,1992-10-10,1992,1
81,1992-10-12,1992,1
82,1992-10-15,3984,2
83,1992-10-16,1992,1
84,1992-10-17,1992,1
85,1992-10-20,1992,1
86,1992-10-28,1992,1
87,1992-11-01,7968,4
88,1992-11-10,1992,1
89,1992-12-01,1992,1
