,iyear,imonth,iday,country_txt,index,country,region,latitude,longitude,nperps,guncertain1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propvalue,ransompaidus,no_of_events,date
0,1996,3,23,Ukraine,4,214,9,50.4501,30.5234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1996-03-23
1,1996,7,16,Ukraine,15,214,9,50.4501,30.5234,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0.0,0.0,1,1996-07-16
2,1996,8,24,Ukraine,17,214,9,44.952117,34.102416999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1996-08-24
3,1997,5,16,Ukraine,33,214,9,44.952117,34.102416999999996,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1997-05-16
4,1997,8,11,Ukraine,39,214,9,46.484583,30.7326,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1997-08-11
5,1999,7,8,Ukraine,90,214,9,50.430754,30.532801,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1999-07-08
6,1999,10,2,Ukraine,99,214,9,47.729721999999995,33.254721999999994,2.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,1,0.0,0.0,1,1999-10-02
7,1999,11,7,Ukraine,306,642,27,149.519049,72.089151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,3,1999-11-07
8,1999,11,23,Ukraine,106,214,9,50.4501,30.5234,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,-9,0.0,0.0,1,1999-11-23
9,2000,11,7,Ukraine,135,214,9,48.581534999999995,39.355545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,2000-11-07
10,2002,1,23,Ukraine,165,214,9,46.484583,30.7326,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,0.0,0.0,1,2002-01-23
11,2002,3,29,Ukraine,168,214,9,50.4501,30.5234,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,2002-03-29
12,2002,5,11,Ukraine,178,214,9,48.2,22.633333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9,0.0,0.0,1,2002-05-11
13,2003,11,19,Ukraine,368,214,9,46.484583,30.7326,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,1,2003-11-19
14,2007,11,7,Ukraine,3853,214,9,49.839683,24.029717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,2007-11-07
15,2008,4,21,Ukraine,4609,214,9,50.430754,30.532801,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-9,0.0,0.0,1,2008-04-21
16,2009,2,14,Ukraine,5857,214,9,46.484583,30.7326,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,1,2009-02-14
17,2009,3,11,Ukraine,5941,214,9,50.422273,30.457787,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,-9,0.0,0.0,1,2009-03-11
18,2010,7,28,Ukraine,8223,214,9,47.8388,35.139567,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,1,0.0,0.0,1,2010-07-28
19,2010,10,22,Ukraine,26277,642,27,145.523799,96.78695099999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,3,2010-10-22
20,2011,1,20,Ukraine,18307,428,18,96.09336,75.884292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8,0.0,0.0,2,2011-01-20
21,2011,11,19,Ukraine,10536,214,9,50.4501,30.5234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,2011-11-19
22,2012,1,3,Ukraine,10895,214,9,49.065783,33.410033,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-9,0.0,0.0,1,2012-01-03
23,2012,4,27,Ukraine,59316,1070,45,242.34608500000002,175.23576500000001,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,4,0.0,0.0,5,2012-04-27
24,2012,5,6,Ukraine,11948,214,9,48.951868,24.425478,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-9,0.0,0.0,1,2012-05-06
25,2012,6,9,Ukraine,12317,214,9,47.56746,34.394815,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,1,2012-06-09
