,date_start,year,no_of_events
0,2014-01-22,2014,1
1,2014-01-27,2014,1
2,2014-02-18,6042,3
3,2014-02-20,2014,1
4,2014-04-12,4028,2
5,2014-04-13,2014,1
6,2014-04-16,4028,2
7,2014-04-20,2014,1
8,2014-04-24,2014,1
9,2014-05-01,2014,1
10,2014-05-02,8056,4
11,2014-05-03,6042,3
12,2014-05-04,4028,2
13,2014-05-05,4028,2
14,2014-05-09,2014,1
15,2014-05-13,2014,1
16,2014-05-19,2014,1
17,2014-05-21,4028,2
18,2014-05-22,2014,1
19,2014-05-23,2014,1
20,2014-05-24,2014,1
21,2014-05-25,4028,2
22,2014-05-26,4028,2
23,2014-05-29,2014,1
24,2014-06-02,4028,2
25,2014-06-03,2014,1
26,2014-06-05,2014,1
27,2014-06-06,2014,1
28,2014-06-10,4028,2
29,2014-06-13,2014,1
30,2014-06-14,6042,3
31,2014-06-17,2014,1
32,2014-06-19,2014,1
33,2014-06-20,2014,1
34,2014-06-23,2014,1
35,2014-06-24,6042,3
36,2014-06-26,2014,1
37,2014-06-28,2014,1
38,2014-06-29,2014,1
39,2014-06-30,2014,1
40,2014-07-01,2014,1
41,2014-07-02,2014,1
42,2014-07-03,2014,1
43,2014-07-04,2014,1
44,2014-07-08,2014,1
45,2014-07-09,4028,2
46,2014-07-10,4028,2
47,2014-07-11,12084,6
48,2014-07-12,6042,3
49,2014-07-13,2014,1
50,2014-07-14,4028,2
51,2014-07-15,2014,1
52,2014-07-17,2014,1
53,2014-07-20,4028,2
54,2014-07-21,2014,1
55,2014-07-22,4028,2
56,2014-07-23,2014,1
57,2014-07-26,2014,1
58,2014-07-27,4028,2
59,2014-07-28,6042,3
60,2014-07-29,4028,2
61,2014-07-30,2014,1
62,2014-07-31,6042,3
63,2014-08-02,8056,4
64,2014-08-04,4028,2
65,2014-08-05,6042,3
66,2014-08-06,6042,3
67,2014-08-07,4028,2
68,2014-08-10,2014,1
69,2014-08-12,4028,2
70,2014-08-13,8056,4
71,2014-08-14,10070,5
72,2014-08-16,2014,1
73,2014-08-18,6042,3
74,2014-08-19,6042,3
75,2014-08-20,6042,3
76,2014-08-23,2014,1
77,2014-08-25,10070,5
78,2014-08-26,2014,1
79,2014-08-28,2014,1
80,2014-09-01,2014,1
81,2014-09-02,4028,2
82,2014-09-04,4028,2
83,2014-09-05,4028,2
84,2014-09-06,2014,1
85,2014-09-14,2014,1
86,2014-09-16,8056,4
87,2014-09-17,6042,3
88,2014-09-18,8056,4
89,2014-09-20,2014,1
90,2014-09-26,6042,3
91,2014-09-28,6042,3
92,2014-10-01,4028,2
93,2014-10-02,6042,3
94,2014-10-03,2014,1
95,2014-10-04,2014,1
96,2014-10-05,2014,1
97,2014-10-06,6042,3
98,2014-10-07,6042,3
99,2014-10-08,4028,2
100,2014-10-09,4028,2
101,2014-10-10,6042,3
102,2014-10-11,2014,1
103,2014-10-13,4028,2
104,2014-10-14,2014,1
105,2014-10-16,4028,2
106,2014-10-17,4028,2
107,2014-10-18,2014,1
108,2014-10-19,2014,1
109,2014-10-21,2014,1
110,2014-10-22,2014,1
111,2014-10-26,2014,1
112,2014-10-28,2014,1
113,2014-10-30,10070,5
114,2014-10-31,4028,2
115,2014-11-01,2014,1
116,2014-11-03,6042,3
117,2014-11-04,4028,2
118,2014-11-05,2014,1
119,2014-11-06,6042,3
120,2014-11-07,2014,1
121,2014-11-10,2014,1
122,2014-11-12,2014,1
123,2014-11-13,2014,1
124,2014-11-14,10070,5
125,2014-11-15,2014,1
126,2014-11-16,8056,4
127,2014-11-17,2014,1
128,2014-11-20,4028,2
129,2014-11-21,2014,1
130,2014-11-23,6042,3
131,2014-11-24,4028,2
132,2014-11-25,4028,2
133,2014-11-26,2014,1
134,2014-11-27,4028,2
135,2014-11-28,2014,1
136,2014-11-29,4028,2
137,2014-11-30,6042,3
138,2014-12-02,6042,3
139,2014-12-04,2014,1
140,2014-12-05,4028,2
141,2014-12-06,2014,1
142,2014-12-08,4028,2
143,2014-12-10,2014,1
144,2014-12-16,2014,1
145,2014-12-18,2014,1
146,2014-12-29,2014,1
147,2015-01-01,4030,2
148,2015-01-02,2015,1
149,2015-01-06,2015,1
150,2015-01-09,4030,2
151,2015-01-13,10075,5
152,2015-01-14,2015,1
153,2015-01-15,10075,5
154,2015-01-16,8060,4
155,2015-01-17,2015,1
156,2015-01-18,6045,3
157,2015-01-20,4030,2
158,2015-01-21,8060,4
159,2015-01-22,4030,2
160,2015-01-23,2015,1
161,2015-01-24,4030,2
162,2015-01-25,4030,2
163,2015-01-26,2015,1
164,2015-01-27,10075,5
165,2015-01-29,6045,3
166,2015-01-30,4030,2
167,2015-02-01,10075,5
168,2015-02-02,2015,1
169,2015-02-03,2015,1
170,2015-02-04,6045,3
171,2015-02-06,6045,3
172,2015-02-08,4030,2
173,2015-02-09,2015,1
174,2015-02-10,4030,2
175,2015-02-11,4030,2
176,2015-02-12,4030,2
177,2015-02-13,8060,4
178,2015-02-14,4030,2
179,2015-02-15,4030,2
180,2015-02-16,4030,2
181,2015-02-18,2015,1
182,2015-02-19,2015,1
183,2015-02-22,2015,1
184,2015-02-26,2015,1
185,2015-02-28,2015,1
186,2015-03-02,4030,2
187,2015-03-03,2015,1
188,2015-03-08,2015,1
189,2015-03-11,2015,1
190,2015-03-15,4030,2
191,2015-03-16,6045,3
192,2015-03-17,2015,1
193,2015-03-20,12090,6
194,2015-03-23,6045,3
